country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)","15-11-2025 23:00:00",23.549395,87.300496,SO2,8,37,29
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)","15-11-2025 23:00:00",23.549395,87.300496,OZONE,2,50,14
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB","15-11-2025 23:00:00",22.06047,88.109737,NO2,15,40,24
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB","15-11-2025 23:00:00",22.629801,88.352017,PM10,105,226,153
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB","15-11-2025 23:00:00",22.629801,88.352017,NH3,7,12,10
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB","15-11-2025 23:00:00",22.629801,88.352017,SO2,12,25,17
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB","15-11-2025 23:00:00",22.629801,88.352017,OZONE,7,51,26
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB","15-11-2025 23:00:00",22.6025571,88.3105664,NH3,1,3,2
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB","15-11-2025 23:00:00",22.6025571,88.3105664,OZONE,1,108,50
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB","15-11-2025 23:00:00",22.611968,88.347422,PM10,96,169,131
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB","15-11-2025 23:00:00",22.611968,88.347422,NH3,7,15,11
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB","15-11-2025 23:00:00",22.5687319,88.2797276,PM10,98,200,147
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB","15-11-2025 23:00:00",22.5687319,88.2797276,NO2,15,51,30
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB","15-11-2025 23:00:00",22.5687319,88.2797276,OZONE,3,116,48
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB","15-11-2025 23:00:00",22.5367507,88.3638022,NH3,7,13,9
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB","15-11-2025 23:00:00",22.5367507,88.3638022,SO2,7,16,12
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB","15-11-2025 23:00:00",22.5367507,88.3638022,CO,13,110,57
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB","15-11-2025 23:00:00",22.556640,88.342674,PM2.5,NA,NA,NA
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB","15-11-2025 23:00:00",22.556640,88.342674,PM10,NA,NA,NA
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB","15-11-2025 23:00:00",22.49929,88.36917,PM2.5,147,373,286
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB","15-11-2025 23:00:00",22.49929,88.36917,SO2,1,4,2
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB","15-11-2025 23:00:00",22.49929,88.36917,OZONE,11,43,23
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB","15-11-2025 23:00:00",22.627847,88.380669,NH3,12,13,12
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","15-11-2025 23:00:00",22.51106,88.35142,SO2,7,33,16
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","15-11-2025 23:00:00",26.6879226,88.4152495,PM10,55,142,84
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","15-11-2025 23:00:00",26.6879226,88.4152495,NH3,11,11,11
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","15-11-2025 23:00:00",26.6879226,88.4152495,CO,33,88,58
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","15-11-2025 23:00:00",26.987634,94.636574,OZONE,3,80,43
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","15-11-2025 23:00:00",25.5626095,84.663264,PM2.5,31,99,65
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","15-11-2025 23:00:00",25.5626095,84.663264,PM10,34,102,67
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","15-11-2025 23:00:00",25.5626095,84.663264,NH3,1,1,1
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","15-11-2025 23:00:00",24.75746,84.366208,PM2.5,37,213,68
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","15-11-2025 23:00:00",24.75746,84.366208,NH3,1,2,2
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","15-11-2025 23:00:00",24.75746,84.366208,SO2,9,17,13
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","15-11-2025 23:00:00",24.75746,84.366208,OZONE,3,51,23
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","15-11-2025 23:00:00",25.42742023,86.13886079,PM2.5,40,167,78
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","15-11-2025 23:00:00",26.80365,84.51954,PM2.5,43,207,126
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","15-11-2025 23:00:00",26.80365,84.51954,PM10,51,152,114
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","15-11-2025 23:00:00",27.103358,93.679645,PM2.5,23,96,51
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","15-11-2025 23:00:00",27.103358,93.679645,PM10,25,101,57
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","15-11-2025 23:00:00",27.103358,93.679645,CO,6,19,8
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","15-11-2025 23:00:00",26.071318,91.87488,NO2,6,8,7
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","15-11-2025 23:00:00",26.071318,91.87488,OZONE,16,31,23
India,Assam,Guwahati,"IITG, Guwahati - PCBA","15-11-2025 23:00:00",26.2028636,91.70046436,NO2,1,7,4
India,Assam,Guwahati,"IITG, Guwahati - PCBA","15-11-2025 23:00:00",26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","15-11-2025 23:00:00",26.10887,91.589544,CO,15,92,44
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","15-11-2025 23:00:00",26.187500,91.744194,PM2.5,26,103,69
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","15-11-2025 23:00:00",26.187500,91.744194,PM10,22,80,55
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","15-11-2025 23:00:00",14.675886,77.593027,NH3,NA,NA,NA
